Name;label;description;end;val;fy;fp;form;filed;frame;start
CostOfRevenue;Cost of Revenue;The aggregate cost of goods produced and sold and services rendered during the reporting period.;31/12/2021;339404000;2023;FY;10-K;20/2/2024;CY2021;1/1/2021
CostOfRevenue;Cost of Revenue;The aggregate cost of goods produced and sold and services rendered during the reporting period.;31/12/2022;408549000;2024;FY;10-K;18/2/2025;CY2022;1/1/2022
CostOfRevenue;Cost of Revenue;The aggregate cost of goods produced and sold and services rendered during the reporting period.;31/12/2023;431105000;2025;FY;10-K;17/2/2026;CY2023;1/1/2023
CostOfRevenue;Cost of Revenue;The aggregate cost of goods produced and sold and services rendered during the reporting period.;31/12/2024;565990000;2025;FY;10-K;17/2/2026;CY2024;1/1/2024
CostOfRevenue;Cost of Revenue;The aggregate cost of goods produced and sold and services rendered during the reporting period.;31/12/2025;789177000;2025;FY;10-K;17/2/2026;CY2025;1/1/2025
GrossProfit;Gross Profit;Aggregate revenue less cost of goods and services sold or operating expenses directly attributable to the revenue generation activity.;31/12/2021;1202485000;2023;FY;10-K;20/2/2024;CY2021;1/1/2021
GrossProfit;Gross Profit;Aggregate revenue less cost of goods and services sold or operating expenses directly attributable to the revenue generation activity.;31/12/2022;1497322000;2024;FY;10-K;18/2/2025;CY2022;1/1/2022
GrossProfit;Gross Profit;Aggregate revenue less cost of goods and services sold or operating expenses directly attributable to the revenue generation activity.;31/12/2023;1793907000;2025;FY;10-K;17/2/2026;CY2023;1/1/2023
GrossProfit;Gross Profit;Aggregate revenue less cost of goods and services sold or operating expenses directly attributable to the revenue generation activity.;31/12/2024;2299517000;2025;FY;10-K;17/2/2026;CY2024;1/1/2024
GrossProfit;Gross Profit;Aggregate revenue less cost of goods and services sold or operating expenses directly attributable to the revenue generation activity.;31/12/2025;3686269000;2025;FY;10-K;17/2/2026;CY2025;1/1/2025
OperatingExpenses;Operating Expenses;Generally recurring costs associated with normal operations except for the portion of these expenses which can be clearly related to production and included in cost of sales or services. Includes selling, general and administrative expense.;31/12/2021;1613531000;2023;FY;10-K;20/2/2024;CY2021;1/1/2021
OperatingExpenses;Operating Expenses;Generally recurring costs associated with normal operations except for the portion of these expenses which can be clearly related to production and included in cost of sales or services. Includes selling, general and administrative expense.;31/12/2022;1658523000;2024;FY;10-K;18/2/2025;CY2022;1/1/2022
OperatingExpenses;Operating Expenses;Generally recurring costs associated with normal operations except for the portion of these expenses which can be clearly related to production and included in cost of sales or services. Includes selling, general and administrative expense.;31/12/2023;1673941000;2025;FY;10-K;17/2/2026;CY2023;1/1/2023
OperatingExpenses;Operating Expenses;Generally recurring costs associated with normal operations except for the portion of these expenses which can be clearly related to production and included in cost of sales or services. Includes selling, general and administrative expense.;31/12/2024;1989114000;2025;FY;10-K;17/2/2026;CY2024;1/1/2024
OperatingExpenses;Operating Expenses;Generally recurring costs associated with normal operations except for the portion of these expenses which can be clearly related to production and included in cost of sales or services. Includes selling, general and administrative expense.;31/12/2025;2272254000;2025;FY;10-K;17/2/2026;CY2025;1/1/2025
OperatingIncomeLoss;Operating Income (Loss);The net result for the period of deducting operating expenses from operating revenues.;31/12/2021;-411046000;2023;FY;10-K;20/2/2024;CY2021;1/1/2021
OperatingIncomeLoss;Operating Income (Loss);The net result for the period of deducting operating expenses from operating revenues.;31/12/2022;-161201000;2024;FY;10-K;18/2/2025;CY2022;1/1/2022
OperatingIncomeLoss;Operating Income (Loss);The net result for the period of deducting operating expenses from operating revenues.;31/12/2023;119966000;2025;FY;10-K;17/2/2026;CY2023;1/1/2023
OperatingIncomeLoss;Operating Income (Loss);The net result for the period of deducting operating expenses from operating revenues.;31/12/2024;310403000;2025;FY;10-K;17/2/2026;CY2024;1/1/2024
OperatingIncomeLoss;Operating Income (Loss);The net result for the period of deducting operating expenses from operating revenues.;31/12/2025;1414015000;2025;FY;10-K;17/2/2026;CY2025;1/1/2025
ProfitLoss;Net Income (Loss), Including Portion Attributable to Noncontrolling Interest;The consolidated profit or loss for the period, net of income taxes, including the portion attributable to the noncontrolling interest.;31/12/2021;-520379000;2023;FY;10-K;20/2/2024;CY2021;1/1/2021
ProfitLoss;Net Income (Loss), Including Portion Attributable to Noncontrolling Interest;The consolidated profit or loss for the period, net of income taxes, including the portion attributable to the noncontrolling interest.;31/12/2022;-371094000;2024;FY;10-K;18/2/2025;CY2022;1/1/2022
ProfitLoss;Net Income (Loss), Including Portion Attributable to Noncontrolling Interest;The consolidated profit or loss for the period, net of income taxes, including the portion attributable to the noncontrolling interest.;31/12/2023;217375000;2025;FY;10-K;17/2/2026;CY2023;1/1/2023
ProfitLoss;Net Income (Loss), Including Portion Attributable to Noncontrolling Interest;The consolidated profit or loss for the period, net of income taxes, including the portion attributable to the noncontrolling interest.;31/12/2024;467918000;2025;FY;10-K;17/2/2026;CY2024;1/1/2024
ProfitLoss;Net Income (Loss), Including Portion Attributable to Noncontrolling Interest;The consolidated profit or loss for the period, net of income taxes, including the portion attributable to the noncontrolling interest.;31/12/2025;1634644000;2025;FY;10-K;17/2/2026;CY2025;1/1/2025
RevenueFromContractWithCustomerExcludingAssessedTax;Revenue from Contract with Customer, Excluding Assessed Tax;Amount, excluding tax collected from customer, of revenue from satisfaction of performance obligation by transferring promised good or service to customer. Tax collected from customer is tax assessed by governmental authority that is both imposed on and concurrent with specific revenue-producing transaction, including, but not limited to, sales, use, value added and excise.;31/12/2021;1541889000;2023;FY;10-K;20/2/2024;CY2021;1/1/2021
RevenueFromContractWithCustomerExcludingAssessedTax;Revenue from Contract with Customer, Excluding Assessed Tax;Amount, excluding tax collected from customer, of revenue from satisfaction of performance obligation by transferring promised good or service to customer. Tax collected from customer is tax assessed by governmental authority that is both imposed on and concurrent with specific revenue-producing transaction, including, but not limited to, sales, use, value added and excise.;31/12/2022;1905871000;2024;FY;10-K;18/2/2025;CY2022;1/1/2022
RevenueFromContractWithCustomerExcludingAssessedTax;Revenue from Contract with Customer, Excluding Assessed Tax;Amount, excluding tax collected from customer, of revenue from satisfaction of performance obligation by transferring promised good or service to customer. Tax collected from customer is tax assessed by governmental authority that is both imposed on and concurrent with specific revenue-producing transaction, including, but not limited to, sales, use, value added and excise.;31/12/2023;2225012000;2025;FY;10-K;17/2/2026;CY2023;1/1/2023
RevenueFromContractWithCustomerExcludingAssessedTax;Revenue from Contract with Customer, Excluding Assessed Tax;Amount, excluding tax collected from customer, of revenue from satisfaction of performance obligation by transferring promised good or service to customer. Tax collected from customer is tax assessed by governmental authority that is both imposed on and concurrent with specific revenue-producing transaction, including, but not limited to, sales, use, value added and excise.;31/12/2024;2865507000;2025;FY;10-K;17/2/2026;CY2024;1/1/2024
RevenueFromContractWithCustomerExcludingAssessedTax;Revenue from Contract with Customer, Excluding Assessed Tax;Amount, excluding tax collected from customer, of revenue from satisfaction of performance obligation by transferring promised good or service to customer. Tax collected from customer is tax assessed by governmental authority that is both imposed on and concurrent with specific revenue-producing transaction, including, but not limited to, sales, use, value added and excise.;31/12/2025;4475446000;2025;FY;10-K;17/2/2026;CY2025;1/1/2025
